Eselon 1,Tempat tinggal,hari bekerja non WFH per bulannya,hari ideal bekerja non WFH seminggu,Lokasi melaksanakan WFH,lama bekerja ketika WFH sehari,jumlah rapat online paralel (multi zoom) sehari,improve-gaya komunikasi atasan,improve-sarana prasarana pendukung kerja,improve-pengaturan jam kerja,improve-beban kerja,improve-pengelolaan kinerja pegawai,adv-manajemen keuangan lebih baik,adv-fokus meningkatkan kompetensi,adv-kesempatan belajar,adv-hubungan dg rekan kerja lebih baik,adv-komunikasi dg keluarga dekat lebih baik,adv-quality time dg keluarga inti,adv-terlibat dengan komunitas,adv-lebih mengenal lingkungan tempat tinggal,adv-waktu menekuni hobi,adv-kualitas ibadah / kehidupan spiritual,adv-pola hidup lebih sehat,harapan peningkatan implementasi FWS,gender,age,masa_kerja_tahun,masa_kerja_bulan,kode_wilayah_ktp
Sekretariat Jenderal,Kontrak,10 sd15 hari kerja,3 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Netral,Netral,Setuju,Setuju,Setuju,Netral,Netral,semoga dapat mengimplementasikan FWS dengan bijaksana,pria,29,2,10,
Sekretariat Jenderal,Kontrak,10 sd15 hari kerja,2 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,"menurut Saya implementasi FWS sangat diperlukan, mengedepankan efektifitas dalam bekerja.",pria,26,3,11,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,< 2 ,Netral,Setuju,Setuju,Netral,Netral,Setuju,Netral,Setuju,Tidak Setuju,Setuju,Setuju,Tidak Setuju,Setuju,Tidak Setuju,Netral,Netral,,wanita,24,3,11,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,10 sd15 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,< 2 ,Netral,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,implementasi sudah baik,pria,48,19,0,
Sekretariat Jenderal,Kos,10 sd15 hari kerja,3 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Netral,Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,alokasi penjatajn FWS harus proporsional,pria,25,2,10,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,2 hari,Homebase,< 6 jam 25 menit,> 2	,Netral,Netral,Setuju,Setuju,Netral,Netral,Netral,Netral,Netral,Sangat Setuju,Sangat Setuju,Netral,Netral,Netral,Setuju,Setuju,mantap,pria,52,29,10,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,> 2	,Netral,Setuju,Netral,Netral,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,wfo dan wfh harus seimbang jumlah agar lebih bermanfaat,wanita,46,23,9,
Sekretariat Jenderal,Kontrak,10 sd15 hari kerja,2 hari,Homebase,< 6 jam 25 menit,> 2	,Netral,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Netral,Setuju,Netral,Sangat Setuju,Sangat Setuju,Netral,Netral,Setuju,Netral,Setuju,Kiranya FWS dapat terus diterapkan bahkan jika nanti pandemi telah berakhir karena sangat berperan besar dalam meningkatkan produktivitas. Utamanya tidak perlu buang waktu berjam2 hanya untuk di perjalanan yang meningkatkan stress dan rasa lelah,wanita,30,8,2,
Sekretariat Jenderal,Kontrak,10 sd15 hari kerja,3 hari,Tempat lain,> 6 jam 25 menit ,< 2 ,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Netral,Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Implementasi FWS kiranya dapat dioptimalkan dengan tetap memperhatikan kualitas pekerjaan,pria,31,8,2,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,10 sd15 hari kerja,3 hari,Homebase,> 6 jam 25 menit ,< 2 ,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju, ,pria,36,11,0,
Sekretariat Jenderal,Kontrak,10 sd15 hari kerja,1 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,FWS agar memperhatikan WLB dengan mempertimbangkan jam kerja yang efektif.,pria,38,17,0,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,3 hari,Homebase,< 6 jam 25 menit,< 2 ,Netral,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Semoga FWS dapat dilaksanakan sesuai kebutuhan organisasi dengan tidak lupa mempertimbangkan faktor sumber daya manusia yang dimiliki dan rasa kesetaraan dan keadilan yang baik,pria,30,7,1,
Sekretariat Jenderal,Kos,10 sd15 hari kerja,3 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Netral,Netral,Netral,Netral,Netral,Setuju,Setuju,"Semoga aturan FWS dapat dilakukan di homebase. Terutama bagi pegawai yang jauh dari keluarga.
Karena banyak pegawai yang bekerja secara berjauhan dengan keluarga, apalagi dengan pandemi dan aturan PPKM.
",pria,37,11,0,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,> 2	,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,"Diharapkan tetap trus dilaksanakan FWS meskipun tidak ada corona, karena dampak positif nya banyak sekali",wanita,28,3,11,
Sekretariat Jenderal,Menumpang (orangtua/ saudara/lainnya),10 sd15 hari kerja,3 hari,Homebase,> 6 jam 25 menit ,> 2	,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Setuju,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Setuju,,wanita,48,23,9,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,4 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Netral,Setuju,Setuju,Setuju,Netral,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,senang WFH,pria,29,7,1,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,< 2 ,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,,pria,37,12,11,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,3 hari,Homebase,> 6 jam 25 menit ,> 2	,Setuju,Sangat Setuju,Netral,Setuju,Setuju,Netral,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,"disediakan sarana dan prasarana pendukung bagi pegawai (komputer, quota internet dll)",pria,35,13,0,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,< 2 ,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,"Semoga FWS benar-benar dapat diterapkan, pimpinan terbuka akan implementasi FWS, pimpinan percaya dengan bawahan, pimpinan tidak sulit dalam menyetujui usulan FWS.",wanita,27,2,10,
Sekretariat Jenderal,Menumpang (orangtua/ saudara/lainnya),10 sd15 hari kerja,3 hari,Homebase,> 6 jam 25 menit ,> 2	,Setuju,Setuju,Setuju,Netral,Netral,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Netral,Setuju,Netral,Setuju,Netral,"Kebijakan FWS (di luar kondisi bencana) agar didorong dapat dilakukan di kota lain (terutama daerah wisata, bukan homebase), misal dari Bali atau Lombok agar pegawai dapat sekaligus refreshing dan membantu perekonomian warga lokal. Terima kasih. ",pria,30,8,2,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,2 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Setuju,Setuju,Tidak Setuju,Setuju,Setuju,Tidak Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,good,wanita,27,3,11,
Sekretariat Jenderal,Kontrak,10 sd15 hari kerja,2 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Netral,Setuju,Netral,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Tidak Setuju,semoga pengambil keputusan pernah ngrasain jadi pelaksana,pria,33,12,0,
Sekretariat Jenderal,Menumpang (orangtua/ saudara/lainnya),10 sd15 hari kerja,2 hari,Homebase,< 6 jam 25 menit,< 2 ,Setuju,Setuju,Netral,Sangat Setuju,Netral,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Netral,Netral,Netral,Setuju,Setuju,semoga berbagai hal yang dapat menunjang pelaksanaan FWS bisa terus diperbaiki. Percepatan digitalisasi untuk pekerjaan atau hal yang bisa dilakukan dapat dilakukan dan didukung oleh berbagai pihak yang terlibat,wanita,26,5,0,
Badan Pendidikan dan Pelatihan Keuangan,Kos,10 sd15 hari kerja,3 hari,Kos/tempat tinggal terpisah dari keluarga  ,< 6 jam 25 menit,< 2 ,Netral,Netral,Netral,Setuju,Setuju,Setuju,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Setuju,-,wanita,31,8,2,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,10 sd15 hari kerja,2 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,,pria,31,9,2,350920
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,3 hari,Homebase,< 6 jam 25 menit,< 2 ,Netral,Sangat Setuju,Netral,Netral,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Netral,Netral,Setuju,Setuju,Semoga FWS di Kemenkeu tetap dilaksanakan dengan baik,pria,51,23,9,
Sekretariat Jenderal,Kos,10 sd15 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,< 2 ,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Netral,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,,pria,24,3,11,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,> 2	,Netral,Netral,Netral,Netral,Netral,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Netral,Netral,Setuju,Setuju,semoga dapat disesuaikan yang terbaik,wanita,28,6,10,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,10 sd15 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,< 2 ,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,Netral,Netral,Tidak Setuju,Setuju,Setuju,Semoga FWS benar-benar dapat diimplementasikan secara menyeluruh,wanita,32,12,0,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,< 2 ,Netral,Netral,Netral,Netral,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,,pria,28,5,0,
Sekretariat Jenderal,Menumpang (orangtua/ saudara/lainnya),10 sd15 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,< 2 ,Setuju,Netral,Netral,Netral,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,lebih banyak lagi satellite office di jabodetabek,pria,31,8,2,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,< 2 ,Setuju,Setuju,Setuju,Netral,Setuju,Netral,Setuju,Setuju,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,baik sekali,pria,50,23,9,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,3 hari,Homebase,< 6 jam 25 menit,< 2 ,Netral,Setuju,Setuju,Netral,Netral,Setuju,Netral,Netral,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,,wanita,34,11,0,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,> 2	,Netral,Netral,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,sudah cukup bagus,wanita,38,12,11,
Badan Pendidikan dan Pelatihan Keuangan,Kos,10 sd15 hari kerja,2 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Netral,Netral,Netral,Setuju,Netral,Setuju,Sangat Setuju,Netral,"FWS bagus dengan beban kerja yang tidak padat, untuk pekerjaan padat FWS maupun WFO tidak jauh berbeda",pria,25,3,0,
Sekretariat Jenderal,Kos,10 sd15 hari kerja,3 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,semoga FWS dapat segera diterapkan dilingkungan kerja,wanita,24,3,11,
Sekretariat Jenderal,Kontrak,10 sd15 hari kerja,3 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sudah sangat baik,pria,30,8,2,
Sekretariat Jenderal,Kontrak,10 sd15 hari kerja,3 hari,Homebase,> 6 jam 25 menit ,> 2	,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Netral,Setuju,Setuju,oke,pria,30,9,2,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,1 hari,Tempat lain,> 6 jam 25 menit ,< 2 ,Setuju,Netral,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,komitmen pimpinan dalam menerapkan fws,pria,32,9,2,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,2 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Setuju,Setuju,Netral,Setuju,Setuju,Netral,Setuju,Setuju,Netral,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,,pria,27,5,0,
Sekretariat Jenderal,Kontrak,10 sd15 hari kerja,3 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Setuju,Setuju,dengan FWS aan membua pekerjaan menjadi efektif dan menyenangkan,wanita,29,6,10,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,10 sd15 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,< 2 ,Netral,Netral,Netral,Setuju,Setuju,Setuju,Netral,Netral,Tidak Setuju,Setuju,Setuju,Tidak Setuju,Sangat Setuju,Netral,Netral,Setuju,.,pria,34,12,0,
Sekretariat Jenderal,Kos,10 sd15 hari kerja,1 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Netral,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju,Netral,Netral,Netral,Netral,Tidak Setuju,Netral,Netral,Netral,Setuju,Setuju,"pegawai diperbolehkan melaksanakan WFHb kapanpun, tanpa perlu pengajuan penerbitan ST WFHb dan tanpa syarat minimal 3 bulan tidak bertemu keluarga ini",pria,28,5,0,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,10 sd15 hari kerja,2 hari,Homebase,< 6 jam 25 menit,< 2 ,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Netral,Setuju,Setuju,Netral,Setuju,Setuju,Sangat Setuju,Sangat Setuju,-,pria,55,23,9,
Badan Pendidikan dan Pelatihan Keuangan,Kos,10 sd15 hari kerja,2 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Netral,Netral,Netral,Netral,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Tidak Setuju,Netral,Netral,Netral,Netral,Netral,,pria,37,12,11,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,2 hari,Homebase,< 6 jam 25 menit,< 2 ,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Netral,Setuju,Setuju,Sangat Setuju,Setuju,"Harapannya agar implementasi FWS dapat berlaku untuk semua pegawai, tidak tebang pilih. Mempermudah fleksibilitas waktu/pola kerja secara real. Satelite office benar2 dapat dijadikan pilihan terutama untuk domisili sekitar/terdekat jika diharuskan onsite ke kantor sehingga tidak perlu harus WFO jauh2 ke kantor pusat Jakarta, apalagi selama perubahan pola kerja masa pandemi, pekerjaan mayoritas dapat dihandle secara remote (WFH). Mengingat kemacetan ibukota sudah kembali nampak as usual, tidak seperti ketika pembatasan yg menjadikan lingkungan/udara lebih sehat, tidak terpapar polusi dan worklife balance, waktu perjalanan ke kantor menjadi lebih singkat jika dipermudah dengan adanya satelit office terdekat, yang terpenting tujuan/hasil pekerjaan tercapai dengan efektif dan efisien dalam hal waktu, tenaga dan kinerja. Pada intinya, saya sangat mendukung adanya perubahan pola kerja dengan pilihan WFH dan satelit office, karena sangat terbantu dalam hal jarak, efisiensi waktu bekerja/quality time untuk mendukung worklife balance.",wanita,36,11,0,337409
Badan Pendidikan dan Pelatihan Keuangan,Kos,10 sd15 hari kerja,2 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,-,pria,34,12,0,510205
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,10 sd15 hari kerja,3 hari,Homebase,> 6 jam 25 menit ,< 2 ,Tidak Setuju,Netral,Setuju,Netral,Setuju,Setuju,Netral,Netral,Tidak Setuju,Setuju,Setuju,Netral,Setuju,Netral,Setuju,Setuju,lebih menyenangkan dalam bekerja dan tidak terpatok pada tempat.,pria,54,33,9,
Sekretariat Jenderal,Kos,10 sd15 hari kerja,4 hari,Homebase,> 6 jam 25 menit ,< 2 ,Tidak Setuju,Tidak Setuju,Setuju,Setuju,Setuju,Netral,Netral,Netral,Tidak Setuju,Sangat Setuju,Sangat Setuju,Netral,Netral,Setuju,Sangat Setuju,Setuju,,pria,33,6,10,
Sekretariat Jenderal,Kos,10 sd15 hari kerja,3 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Netral,Setuju,Netral,Setuju,Netral,Sangat Setuju,Netral,Setuju,Tidak Setuju,Setuju,Netral,Netral,Setuju,Sangat Setuju,Sangat Setuju,Netral,,pria,21,2,0,
Sekretariat Jenderal,Kos,10 sd15 hari kerja,4 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sudah Sangat Baik,pria,30,8,2,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,4 hari,Homebase,> 6 jam 25 menit ,> 2	,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,"Harapannya adalah agar implementasi FWS dapat berjalan lebih baik dengan mengedepankan budaya percaya dan untuk pekerjaan-pekerjaan yang dapat dilakukan secara remote atau individual, dapat diperbanyak frekuensi FWS. kemudian bisa juga menggunakan tempat lain yang fleksibel namun aman dan dapat meningkatkan interaksi antar pegawai.",pria,36,14,11,
Sekretariat Jenderal,Kontrak,10 sd15 hari kerja,2 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,"semoga fws benar-benar diimplementasikan tidak hanya wfo dan wfh, tapi juga wfhb (from homebase) tanpa diskriminasi antar pegawai. ",pria,30,8,2,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,3 hari,Homebase,> 6 jam 25 menit ,> 2	,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,"Semoga penerapan FWS dapat segera direalisasikan dengan baik dan lancar di lingkungan Kementerian Keuangan. Budaya kerja FWS bukan budaya kerja baru bagi pegawai swasta atau profesional di bidang teknologi. Namun, bagi Kementerian/Lembaga budaya kerja FWS di Kementerian Keuangan menjadi satu-satunya dan perdana Kementerian yang berani untuk mendobrak paradigma baru dalam bekerja.",pria,34,11,0,
Badan Pendidikan dan Pelatihan Keuangan,Kontrak,10 sd15 hari kerja,2 hari,Tempat lain,< 6 jam 25 menit,> 2	,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Netral,Netral,Netral,Netral,Setuju,Setuju,,pria,45,22,9,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,> 2	,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Setuju,Setuju,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,semoga pimpinan dapat memeratakan beban kerja antar pegawai,pria,31,8,2,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,4 hari,Kos/tempat tinggal terpisah dari keluarga  ,< 6 jam 25 menit,< 2 ,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Netral,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Netral,Netral,Setuju,Setuju,Sangat Setuju,Sangat Setuju,,pria,29,6,10,
Sekretariat Jenderal,Kos,10 sd15 hari kerja,3 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Sangat Setuju,Netral,Netral,Sangat Setuju,Sangat Setuju,Netral,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Setuju,Netral,Sangat Setuju,Setuju,Semoga dapat diterapkan secara profesional,wanita,28,5,0,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,2 hari,Homebase,< 6 jam 25 menit,< 2 ,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,,wanita,31,9,0,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,3 hari,Kos/tempat tinggal terpisah dari keluarga  ,< 6 jam 25 menit,< 2 ,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Semoga dapat memenuhi harapan semua antar pegawai dengan organisasi.,pria,32,8,2,
Sekretariat Jenderal,Milik Sendiri,10 sd15 hari kerja,5 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Netral,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,Setuju,Netral,Setuju,Setuju,Netral,Setuju,Netral,Setuju,Netral,Netral,Netral,-,pria,25,1,0,
Sekretariat Jenderal,Menumpang (orangtua/ saudara/lainnya),10 sd15 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,> 2	,Netral,Netral,Sangat Setuju,Sangat Setuju,Netral,Netral,Netral,Tidak Setuju,Netral,Netral,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Setuju,Netral,Jam kerja selama WFH tetap mengikuti jam kerja saat non WFH,wanita,28,2,10,
